id,danceability,energy,valence,mood
03VzAAMs5PrLM42XR7ijuc,0.54,0.923,0.531,angry
7xy0PAZxzGDOcYzyptvprd,0.706,0.167,0.724,happy
3njpLvANriMsdv3dgADEad,0.555,0.639,0.184,angry
6CHENx8iqzMwavTIz8s0gm,0.287,0.78,0.383,angry
7spcc0WMgkXCjdc8t1ugB2,0.448,0.519,0.355,sad
1BbocHcTYAu0wCS4NqgRsI,0.537,0.97,0.502,angry
4v2rkl1mC3zVAz0nXMx9r4,0.77,0.654,0.685,happy
3ZiV8Fs2UGpvr31mslhYPI,0.429,0.707,0.562,relaxed
5u9NUat59IiQFVEzZ4r3Np,0.624,0.252,0.367,sad
4Ve66CBSEnK0MuEYsqxN7N,0.386,0.879,0.39,angry
3n5iUh2Z6P7cnWins22W0F,0.593,0.468,0.597,relaxed
1HuAR7RyNWQq6vHwOFHWqx,0.824,0.634,0.743,happy
2N9Cou3s4pxwsKZ9XLt70x,0.632,0.76,0.275,angry
2CN72f1bC9iLrTtzcoZGGP,0.593,0.84,0.775,happy
3vYP5IgBfHv9nWbNhTq3IS,0.378,0.975,0.457,angry
7vTCIwHvCT3zMmtYBo0uff,0.646,0.583,0.339,sad
5boibrn5Grky2xEm5aK13k,0.674,0.523,0.404,sad
21Izx09FQfTP4K27V1E2iZ,0.745,0.412,0.51,angry
1LxHpDkjD1u9yKKdh11wBq,0.462,0.067,0.271,relaxed
3gRjhWNZ10cdaRPRLbzskT,0.505,0.667,0.151,sad
0CCeadjiIVSBbGRueKGDE2,0.555,0.57,0.142,sad
6MBCtmqATwY5KlPRd65A29,0.395,0.711,0.353,angry
5esJb63Nbi1LeG0v4NyKTt,0.488,0.615,0.686,sad
5sN9NYU43a9yFYWhnL2frj,0.3,0.555,0.0784,sad
5S1lTe2IVfQQ7rJkFb6F9Q,0.515,0.86,0.449,angry
7klQm1UOICdgXPTuIATaCX,0.3,0.936,0.757,angry
6eT08jQH8w5BNfAec85k31,0.625,0.266,0.303,relaxed
57zue2IGGV2Gm4HFLp90aZ,0.49,0.645,0.739,relaxed
1rLDTmI8quVUsGy9mzrXBx,0.268,0.982,0.366,angry
798RlpfAbvEYiek5PlKRaz,0.604,0.342,0.0788,relaxed
7JdQ2G8CcaUlV6Ve9bmENr,0.538,0.497,0.686,happy
4Td5Uuuny9vyXBacIqM2V0,0.521,0.298,0.0532,sad
2Bk7DXxVp7Yphfa4GJK2hs,0.734,0.76,0.913,happy
5koyOdvQU9AUgPMA14N4mD,0.522,0.931,0.367,angry
1RLWonWtQ3Iwbbzqbp74Uf,0.547,0.688,0.225,relaxed
6kpOHUJEK2HDCQa2lksKeR,0.456,0.72,0.292,relaxed
4rRfPm15Ka5wxUbd8lD7Z3,0.471,0.545,0.373,sad
6vYYt9fTorwdo6sxoceMQC,0.652,0.605,0.72,sad
4UMTp91LHhvW33ol9ZQH0Q,0.924,0.853,0.67,happy
0lFSYIdmSR76kmfOzQEIVh,0.396,0.533,0.211,sad
5DsQ690cs8vS2wW9FQH91i,0.545,0.748,0.275,relaxed
2uRxXraNeeLPSeCYjUbN6D,0.626,0.309,0.626,happy
5ThljNlaUX5zNgNWBmanmG,0.51,0.83,0.483,angry
6rlbzljFusv6pqMnf6buHb,0.541,0.82,0.146,sad
4DINOBcXuCsEdNCH1l4naj,0.14,0.923,0.326,angry
0f8lc6QabkwdZ89O2qRXkp,0.766,0.473,0.424,relaxed
2F08d4KocfOdWhn7aK3gDI,0.541,0.895,0.657,happy
3inZkpVlyHfLoxwuyu2GYW,0.612,0.55,0.371,relaxed
3EN4LzHTjEDHt4s5n3Fix5,0.61,0.545,0.324,relaxed
7rClhtwnre3TfFocdCMajr,0.398,0.47,0.351,relaxed
6N6L0UTuvkQV0joapmyoxx,0.505,0.993,0.349,angry
1DFqKXOIcd2IqhNFMwWWBR,0.599,0.924,0.413,relaxed
7LHZ7HA45ezKcdN8sBrBuS,0.309,0.767,0.413,sad
11XMjzsyPB5LYOwMb058bT,0.59,0.153,0.425,relaxed
7olD0K7CDQkbxH3G57k52l,0.411,0.364,0.715,sad
416e0SQe40tOyhQt9krWNz,0.518,0.429,0.325,relaxed
71geaRAZ2M5w08T3kl5Xvs,0.458,0.538,0.521,relaxed
05mzctclS0ZqqTLEiDIGkt,0.475,0.823,0.881,happy
29uKzagduhFDTWPCjqaGOg,0.63,0.788,0.629,happy
5Q7m1Km199HHMB926xxbrs,0.365,0.939,0.527,angry
1FjyLdteE3saWL1YRjQ3Of,0.61,0.983,0.484,angry
6LxDjupow6D5FzG2iAbyrt,0.34,0.0952,0.168,relaxed
1qrpoAMXodY6895hGKoUpA,0.632,0.773,0.474,happy
3LgNfgXrsIr5ewmrlelU1T,0.53,0.938,0.245,sad
5wBPIP7z3WN8aweHcF0AcW,0.224,0.991,0.127,angry
40u9RFyKQfXwpPjFzK1bGO,0.43,0.868,0.164,angry
3jXrYXeuqmNK7zbF0AukYd,0.313,0.815,0.373,relaxed
0K1fNhZL5YY2vc0HVxzDwF,0.493,0.443,0.41,happy
1pB5Y2BPLez1J49KKKewUE,0.495,0.772,0.56,happy
1W4FUDnrhdpvtF2p2q0gBx,0.434,0.564,0.0498,sad
4QH2mH5Jmwi9WfXGFwlHLQ,0.577,0.757,0.459,sad
65mxB9IWpmVo4qUjdGSxRB,0.663,0.72,0.608,happy
0z01b3z7TTWizIRvgXZ4eT,0.456,0.385,0.215,sad
4ttozjJu6p9v4RN5aheYfH,0.223,0.201,0.0622,sad
05zMBBrA6nfNKgIHr39Qag,0.369,0.853,0.619,angry
6oYGLiSdsWqvgsGAeVrRfF,0.557,0.993,0.202,sad
54UFDHWI2q7WHfrGbSNWph,0.31,0.83,0.617,angry
2mqaYmF0XmV8egZB6jQOtN,0.69,0.74,0.657,happy
0q5dK7tO2CrFl9hGIvU30r,0.748,0.674,0.808,happy
5BmagRD7Thki6O1zZwbxBy,0.251,0.954,0.264,happy
2iENV2zVh4k4JH3gV9SBk7,0.704,0.53,0.686,relaxed
3mA3Mt9a0LrQm9jg9GGx56,0.338,0.87,0.609,happy
0HZxfZDz4pWUnwlsTUcruB,0.669,0.493,0.556,relaxed
2HK9IFbugPwlagwlV4Lfbh,0.358,0.0429,0.271,sad
1Mdyqd3IcF2tVkJZovxHvF,0.183,0.983,0.122,angry
6C4LXC9UFH1IKiHYOp0BiJ,0.543,0.944,0.735,angry
5sSXr1JtSXW3825ZKfB9Rv,0.171,0.272,0.0364,sad
5gQ0LTbcX7gpQDg39gNLH8,0.166,0.956,0.238,angry
35ItUJlMtjOQW3SSiTCrrw,0.599,0.762,0.715,happy
1i6N76fftMZhijOzFQ5ZtL,0.721,0.521,0.942,angry
7xr2VCG56Vlb3skQqHWPA9,0.66,0.555,0.442,relaxed
4l2ljvyXOCVNbD5ff7NpM7,0.863,0.781,0.764,happy
4fq2YUONcgrCJ2SPndSeKC,0.209,0.872,0.294,sad
0IW0qaeyxL5Et4UG2MrJKB,0.595,0.754,0.647,happy
5Vm75e7iLljI6VHVFnLhs0,0.582,0.608,0.623,relaxed
2VHNsY89s3OW8eKA27PZc5,0.591,0.907,0.391,sad
3gQG7J5VZ2nOJkP76iIHHL,0.19,0.278,0.114,sad
5EYdTPdJD74r9EVZBztqGG,0.831,0.735,0.97,happy
7vrLphPq4yjaX7jiDdd2Nc,0.623,0.983,0.271,angry
2rCpTzi4WhncSCLlS6xf3O,0.265,0.869,0.492,angry
7aA3I3WevNCVeipuxHlnjO,0.558,0.84,0.64,happy
6iCsxY7ylVPS9Okw6QZfAU,0.373,0.952,0.342,sad
7wvv3OLPrX0pENjcDDLLbS,0.458,0.427,0.36,sad
0ZenWYpn5zoCCv9fZEZUte,0.351,0.835,0.752,happy
1ZR4QAYsiO9zPsGaMPW2OI,0.488,0.976,0.404,angry
1GCaJJ1JoTTlD6SvNTVlqo,0.812,0.546,0.871,relaxed
65pA1qrwArWQEYYzM7QpNN,0.55,0.594,0.581,sad
1k9fcGWwrnyuij2Lvd3OHs,0.552,0.519,0.509,relaxed
1q0wCfrE9eGFMzS2g8aVnx,0.351,0.21,0.394,sad
6xzzm22bl8aHP3cdPPLIrO,0.726,0.449,0.358,relaxed
40hrL4q3dxErnwzpIof6fc,0.385,0.465,0.104,sad
0iGu0ULXUSJRvXPCeEqHhO,0.316,0.151,0.263,sad
0mJwpq720tBgx8cNgrW8jo,0.627,0.524,0.206,sad
5jcNL4DreI4z4XnTfsx9SQ,0.554,0.345,0.542,happy
3tAa7azwNATrbRzDspSB2T,0.544,0.945,0.801,happy
7jcLeqojncPZAFh2VUO7mD,0.532,0.247,0.67,relaxed
3tYksAuEMrfk2t9kYjJs2h,0.568,0.866,0.558,happy
1pK1q6sBrGDUU9pMr3wFO1,0.507,0.522,0.485,happy
1RbOObDFn7GOseR1w529Zj,0.752,0.743,0.832,happy
2M4PVaTJGjXV91X8HAVQEx,0.517,0.893,0.248,happy
0o6168outk6kD3g6wq11j9,0.483,0.855,0.555,angry
4UvwXOGb1J39WUutrlXwTF,0.579,0.729,0.758,relaxed
4zfOtyoKyu9y27KQphnIXp,0.54,0.634,0.0941,relaxed
1vq6x0VSLtVUHMbNKHh9sF,0.551,0.828,0.802,relaxed
2u3egbFh5LZsiRTFPFi1LC,0.404,0.0819,0.18,sad
2gLDC8qAQEcuyKfiqyQbme,0.633,0.647,0.422,relaxed
40GFPBolcy0yucApV9uxq2,0.431,0.626,0.762,sad
66Yxbr2UODJjVBKdZtbnOL,0.57,0.301,0.808,happy
0fi1QF49lMHZ0xvzZtYIZJ,0.631,0.101,0.144,relaxed
3NHXj1DBuoxA7HL0xfQAZC,0.718,0.806,0.929,happy
22QiTJqDn1BIRSh4mkNJ5w,0.68,0.389,0.68,relaxed
2eNgh1bLsub7bBo9Nr0DdI,0.706,0.471,0.926,happy
2bku1YWarHpKlxVC2FB9dH,0.359,0.625,0.524,angry
0oIox8T3bdGZnhQKnaDK2a,0.442,0.906,0.705,angry
0QRxtcxL31dRAeiUUuENPu,0.332,0.946,0.303,angry
52M96UxJzKkHFSHGNiu8Du,0.285,0.914,0.144,angry
0ypg59NyOVCpWVzd0SUsT5,0.607,0.941,0.414,sad
4KpznDWSOWEJIvtJCEuNKR,0.546,0.325,0.496,relaxed
59tAS0swoeibMJQzySh6FH,0.715,0.579,0.806,happy
04e4GZMIeIuNPdXHklww01,0.21,0.898,0.421,happy
4xq3UOgaWBW2v3OklhZ8l6,0.408,0.0583,0.0348,sad
6Zewjs7at1sPyc03lUoAHB,0.439,0.647,0.567,relaxed
0MuJLuEaZuXX8aMBFCrTE4,0.307,0.987,0.0395,angry
1KhzUR6N12DxX4WLXK4AFs,0.317,0.995,0.111,angry
73mhroiLiHLb8kKuT3rb4p,0.719,0.233,0.492,relaxed
2wVY3XAbaIK0Kw2fzpuTSN,0.437,0.997,0.0419,angry
4UEo1b0wWrtHMC8bVqPiH8,0.554,0.949,0.233,angry
2IjS06NUi1aumi1t7VI4uY,0.3,0.717,0.418,sad
6HyVffzF6uXt9NHMgEkQpJ,0.61,0.951,0.683,angry
6dwhYg12fOFw8aUrnCOOqC,0.82,0.743,0.962,happy
6YPeTaHZIcocnoBNzZNRbM,0.645,0.753,0.578,relaxed
18lJrvDbhiENa2L2w3fDAl,0.598,0.503,0.57,relaxed
5cxnSTLzGD1t9xcdmJYFVB,0.607,0.411,0.412,sad
2hdy9Wt9qp7M7d0U3ossu2,0.717,0.587,0.544,happy
6YkHLUPBUttfwepwFgNNGX,0.802,0.969,0.679,happy
7vGOHxPXPDEc3YOyihLuPt,0.435,0.869,0.534,angry
0WkZQPNC0c7yrsMX1arVAd,0.643,0.617,0.881,happy
4sPEA6oaP7SWmH7mtY2tcF,0.679,0.481,0.853,happy
5ThljNlaUX5zNgNWBmanmG,0.51,0.83,0.483,angry
6PLQKVQv6BvZGtHtyJ8CaH,0.676,0.576,0.587,relaxed
1LwUHKpQoUudiBM9cnKzlC,0.573,0.14,0.329,relaxed
4K1DB7EedHPuVnhVrnvf2U,0.598,0.939,0.63,angry
2y8Az6zkzWtLKjx4XzaxaJ,0.509,0.404,0.576,happy
4CetCOzy2sv4DcMJJBa8lj,0.731,0.452,0.204,sad
5qR5b6Coq6srVHsa7vi7a0,0.313,0.733,0.49,sad
3ZK8icmaq8PMW686smPDVL,0.423,0.522,0.236,sad
3XpDUp9nn4f8LVMNy5Yot7,0.739,0.681,0.927,happy
6NjM8QCFOqeBdQk8ez5ru9,0.522,0.889,0.924,happy
11Q5n9PmpRQbbblwHygugt,0.256,0.831,0.161,sad
53z4AXUfcLDbI1fXMo6s17,0.591,0.904,0.542,happy
7aJlAYPwkWr4RxIDoohIiG,0.457,0.0184,0.614,relaxed
5FcH1QdaaYFhI20JbimTni,0.686,0.605,0.859,relaxed
77W3lUpBf1qf6gljH69Dbx,0.639,0.565,0.337,relaxed
7FMCSGCHA6hvU3A4NCxEqE,0.664,0.915,0.518,angry
0Ph6L4l8dYUuXFmb71Ajnd,0.425,0.954,0.933,happy
6WpTIA7S7XIVAkF7pXSm0Y,0.352,0.808,0.236,sad
0nQNG8KwzRXJcfcrYTw2SF,0.432,0.73,0.18,sad
2Qo5Bpb4Chv3KHhQn4dGWl,0.362,0.765,0.398,angry
7fdVUpopM88uhovZqqF6Nd,0.675,0.87,0.791,happy
1ltMHtAQH3o4tO9lIl1PdD,0.359,0.411,0.239,sad
0CoPoNohPHCjvggWHlxgk5,0.506,0.666,0.595,happy
6s3d8xe76eyHPgD2QYutJQ,0.282,0.977,0.337,angry
1gw8W2OJ1gswTB7haYnQAG,0.337,0.947,0.135,angry
7mrhHmGgMFApoHmOmciCo2,0.595,0.54,0.465,sad
1gyee1JuFFiP476LQpRMYU,0.509,0.843,0.332,angry
2nRcjNzm7Fv0Z0nJ7oIAFa,0.688,0.33,0.311,relaxed
04GPHj5NdoZxlztLXsPxXA,0.607,0.921,0.574,sad
3vD3Hqapwx1tNLGorK7Qec,0.713,0.399,0.516,sad
0Tn8FBEcA2KoptTPK8Iz8o,0.525,0.908,0.622,happy
6FA6zUTYWE4q7WA7y4RUMd,0.721,0.395,0.399,relaxed
0TXfAQ5ohVQPzt4Mrr5azG,0.491,0.733,0.791,sad
0UtFKlOgsSIYiT5dwXyG7f,0.486,0.416,0.361,relaxed
7MRyJPksH3G2cXHN8UKYzP,0.55,0.824,0.777,happy
0zGLlXbHlrAyBN1x6sY0rb,0.421,0.285,0.402,relaxed
5DMItYJluCFc7YtFdP4aXo,0.551,0.325,0.496,sad
0khOdsehmA43KWQm6X1ulM,0.519,0.745,0.244,sad
5OWF7n0zX8kyTJvv1jTvZX,0.83,0.789,0.749,happy
6qDtt5C55ZcGLqiaQBeUN7,0.754,0.64,0.822,happy
6OSg51YbfcjGwGdpbeAuh7,0.681,0.355,0.0791,sad
6lBOzYGkoPJz4tte6J4g0N,0.68,0.665,0.817,happy
0TckVHRVHbyHZfkuis3x9l,0.465,0.223,0.486,sad
2MmacUcqYxwdq8JrBIAPXD,0.383,0.981,0.478,angry
4MQBASY5egy39Vlqr3QjR4,0.396,0.743,0.722,happy
5PQhijtKTKgiKiyj8xolWn,0.387,0.997,0.039,angry
1rA2JNbWF2iOgNrpfHiyxx,0.516,0.564,0.351,relaxed
0MjerdRVWLtueFEsU7EBA1,0.557,0.675,0.69,happy
2KjmnyVafBbq4VEnrJ5rra,0.385,0.992,0.287,angry
4AwKXevZmsTNa3KZVj3rzl,0.429,0.914,0.685,angry
08c44mv6lHEfUHlPtVg8Yp,0.329,0.993,0.376,angry
5MSkxGObRYlH1926KiTt3K,0.324,0.631,0.104,angry
5zjQ3gF7xeNhMh0Is6wX0b,0.614,0.656,0.697,relaxed
0Aveu2KsriohUafrrerz1F,0.186,0.997,0.107,angry
0lsTEAxLB5Q2L2PAoG6Ogt,0.686,0.545,0.611,relaxed
0wDu7SfZrMdHAhIg6aCuxz,0.489,0.468,0.747,sad
4WDn0Xw164TxgFC0DHI2A4,0.636,0.723,0.648,happy
6leusOAUcF7GjBp0SzHsml,0.589,0.654,0.383,happy
4LvqPHF18hUhjJkueeGvEL,0.618,0.348,0.678,sad
6vEL7E8TGzrxuxbrgdlkLL,0.775,0.818,0.826,happy
6QdwofpqDvvNxX88C9A0iQ,0.601,0.643,0.387,happy
6nz35DNIzbtj5ztpDEcW1j,0.652,0.809,0.512,relaxed
6ewp4089yurchu7SYsa6Lc,0.492,0.965,0.668,happy
0vpmDaRtEuZyXLAjlCnPRI,0.336,0.904,0.629,angry
0gH7MNXQud3Pvnfv1zk3bL,0.299,0.97,0.154,angry
4DmH8WEuvLOXpZ5D18XHJw,0.401,0.871,0.372,angry
5BiuxSuxOZ9CcQ6SqICsDv,0.783,0.933,0.777,angry
2sxL7tTWXDg1JecLwwnJsY,0.626,0.534,0.261,relaxed
2b19g6WaqijXOkIfRBkqvJ,0.838,0.822,0.799,angry
7eZd2MZJTBfoe0isAyawPg,0.399,0.211,0.0391,sad
789uc4cmxmJmNHbOe69MXf,0.371,0.25,0.17,relaxed
3m0y8qLoznUYi73SUBP8GI,0.788,0.846,0.738,happy
6WY1i8lhy85bVfKtA77w6f,0.483,0.971,0.649,angry
3P0ZKM0sJiwYl6LWAgU9YF,0.559,0.492,0.143,sad
5G2g1EbEtFSMkMbAnhl7FV,0.39,0.694,0.795,happy
4UDBc9JhaeYIByH9yGlliW,0.531,0.525,0.338,sad
2h2FLYLTGP3wKSbZAPrnes,0.566,0.511,0.257,relaxed
5vPHVteUR4WqBRuA7TgPVE,0.635,0.843,0.63,relaxed
4ufzdKdQ06eUNn9JHtFhqd,0.313,0.123,0.239,relaxed
3F3R4uyTMkX9jRCEVVmdz6,0.835,0.456,0.224,angry
0UbOOyLRTds8hgvGcX0fO5,0.537,0.362,0.301,sad
6J620PPVt4U7TdJ1V4gC6O,0.535,0.952,0.553,angry
0o53b22Zm0rmrxbvUvHTec,0.744,0.862,0.81,happy
7bvBOzSYbzUMg9ElqkWQiA,0.486,0.934,0.765,happy
1hn7bdJkKHJnHm8QUsrswj,0.514,0.762,0.417,sad
0bvtmfkoui213LpKvGeZLs,0.56,0.428,0.151,relaxed
0XQycQvxuQ7wHF1si0YZmV,0.539,0.238,0.322,relaxed
4FzDNGNtmp4d9ktAyzyC48,0.296,0.529,0.458,happy
74iQ3gahRTOGc19bYadBE3,0.9,0.709,0.897,happy
7LmG4gBYF7T53JVfgVVFKy,0.695,0.834,0.725,relaxed
1wsNC96XFdHuk8nDoBCukO,0.61,0.715,0.642,sad
0Azd88KPJmLqRx5n0H9CJM,0.495,0.377,0.247,sad
24GtTGKVclRH7hyUrwdRgb,0.589,0.898,0.624,happy
2OphtQ1HBxFak62To0zQgz,0.489,0.239,0.33,relaxed
0IwAkElplqXf0Vsk4Vw10E,0.265,0.132,0.035,sad
0rxwAlMPozO5s7twIpJq0T,0.384,0.913,0.658,sad
13YyYNBofurxZCNYiFDibB,0.746,0.844,0.511,relaxed
2eADspwGh5Ad8tDoJ2bHsR,0.737,0.783,0.687,sad
3rhnF3pFa07OzA5ss2zLsp,0.275,0.377,0.123,sad
7Jh7ybOQABcxRGFNMuULQX,0.327,0.477,0.248,relaxed
52K4Nl7eVNqUpUeJeWJlwT,0.712,0.911,0.85,happy
4VRTc5oeHT6Wtz0WzdArGJ,0.565,0.313,0.358,relaxed
1DBelor6FdB6Twp346yJTm,0.518,0.0537,0.039,relaxed
1OdkGwkblQiitomcUOVP4Y,0.476,0.76,0.487,relaxed
6xHCjpneuA34NpmWrV4LKf,0.643,0.852,0.627,relaxed
4pX0g2bpFxG9So1NmSR75Q,0.325,0.382,0.547,sad
7FtRUrOEDUHTvenvp1BqZo,0.32,0.412,0.282,sad
1Qvgix3o9JNBOg1fVfLS9I,0.353,0.4,0.281,sad
3L0Q1AuD1kEx1DMO52H9IQ,0.517,0.681,0.323,relaxed
09ORSynamyltVPUrxJzxkZ,0.442,0.744,0.244,angry
5FnyVsDPOblZ8gVvaXta9z,0.742,0.483,0.638,happy
3pjJGRluO0JQflnN6TjUWJ,0.318,0.875,0.17,happy
1lCC3flXDsXQrNPcvDojuI,0.654,0.77,0.668,angry
3f06ODMl8hh7f9ZhpXhNUE,0.442,0.997,0.303,angry
63HkkLxSefpYzy1kPrcAOy,0.401,0.909,0.797,happy
1MQTmpYOZ6fcMQc56Hdo7T,0.426,0.929,0.539,angry
1SdXfg8sQWanEyHUYlYqH3,0.275,0.933,0.611,happy
5cLttQXyVI07tUKCN8T4OD,0.543,0.829,0.521,angry
3EUl8M6SzxZl03NPkB8mUd,0.698,0.632,0.458,sad
0celQdq97HfzQAHadHQYXg,0.633,0.193,0.115,relaxed
18lq8FwQ94jlSk95PTM7Mr,0.705,0.976,0.967,happy
6Ew3AXTWdNVFjHila1Xshp,0.453,0.895,0.452,happy
3gOzKbPb3Atac29uUNY08H,0.282,0.95,0.0814,sad
2QiqwOVUctPRVggO9G1Zs5,0.411,0.893,0.513,angry
2DlHlPMa4M17kufBvI2lEN,0.417,0.934,0.287,angry
6oMGH5YaeECF0mtRRZbdXk,0.355,0.659,0.0742,sad
7bonj8DN94QniEc4XXOW16,0.376,0.638,0.234,relaxed
3VLCtStwYsAL4LKZgeUvy3,0.519,0.379,0.208,sad
02VcRqgXXFbJMUf8afzGdG,0.441,0.959,0.401,angry
0y8s312zssBxZBfoIlW4e3,0.283,0.142,0.267,sad
5RkWQqzeuQUHeCbBxgIe5X,0.795,0.421,0.664,happy
3J09tJweoMVDYd8Fwjb1Nt,0.358,0.285,0.38,sad
4rXKKa4u0FlulCb5Na2KVW,0.263,0.41,0.0431,sad
6B8czH1kJLkcihMhFdr6Xp,0.322,0.69,0.492,sad
7i3xpu7SFWvzhGa9AZyySR,0.35,0.443,0.345,relaxed
4zvwporoplttLna2hmfsjZ,0.486,0.89,0.568,angry
5oZq62UfPdT8TiUeSA2lff,0.462,0.314,0.162,sad
1KKvumpYrpAW2ugEeKW3LQ,0.695,0.278,0.501,relaxed
1tdtEQPsl0OvuSNTvmBEZa,0.517,0.863,0.325,sad
2EGaDf0cPX789H3LNeB03D,0.666,0.871,0.936,happy
1nAGuIZXz6vb8XW0xiMqic,0.705,0.805,0.887,happy
